"id","title","year","age","imdb","rotten_tomatoes","type"
4810,"Open Your Eyes",1997,"18+",null,"74/100",0
4811,"You Were Never Really Here",2017,"18+",null,"74/100",0
4989,"Narc",2002,"18+",null,"68/100",0
4812,"Eagle Eye",2008,"13+",null,"74/100",0
4813,"His Girl Friday",1940,null,null,"74/100",0
4816,"To Catch a Thief",1955,"7+",null,"74/100",0
4818,"Pantani: The Accidental Death of a Cyclist",2014,"7+",null,"74/100",0
4819,"The Lost City of Z",2017,"13+",null,"74/100",0
4846,"Salaam Namaste",2005,"7+",null,"73/100",0
4848,"What If",2013,"13+",null,"72/100",0
4849,"Stop Making Sense",1984,null,null,"72/100",0
4852,"The Salesman",2016,"13+",null,"72/100",0
4880,"A Taxi Driver",2017,null,null,"72/100",0
4881,"Star Trek: Nemesis",2002,"13+",null,"72/100",0
4882,"The Dressmaker",2015,"18+",null,"72/100",0
4885,"The Quiet Man",1952,"all",null,"71/100",0
4886,"Vantage Point",2008,"13+",null,"71/100",0
4887,"Peeping Tom",1960,null,null,"71/100",0
4888,"The Aeronauts",2019,"13+",null,"71/100",0
4889,"New York",2009,null,null,"71/100",0
4892,"The Flaw",2011,"13+",null,"71/100",0
4896,"House of Sand and Fog",2003,"18+",null,"71/100",0
4897,"Rangasthalam",2018,"13+",null,"71/100",0
4898,"Vivarium",2019,"18+",null,"71/100",0
4899,"Goon",2012,"18+",null,"71/100",0
4901,"The Odd Couple",1968,"all",null,"70/100",0
4902,"The Men Who Stare at Goats",2009,"18+",null,"70/100",0
4878,"Badrinath Ki Dulhania",2017,"7+",null,"72/100",0
4904,"Hector and the Search for Happiness",2014,"18+",null,"70/100",0
4877,"Hard Eight",1996,"18+",null,"72/100",0
4873,"In a Lonely Place",1950,null,null,"72/100",0
4854,"Tumhari Sulu",2017,null,null,"72/100",0
4855,"Super Size Me",2004,"13+",null,"72/100",0
4856,"Cold War",2018,"18+",null,"72/100",0
4859,"Unhinged",2020,"18+",null,"72/100",0
4860,"Sonu Ke Titu Ki Sweety",2018,null,null,"72/100",0
4862,"Ali",2001,"18+",null,"72/100",0
4863,"Honest Thief",2020,"13+",null,"72/100",0
4864,"Pinocchio",2019,"13+",null,"72/100",0
4865,"The Vast of Night",2020,"13+",null,"72/100",0
4866,"Green Lantern",2011,"13+",null,"72/100",0
4867,"Kingpin",1996,"13+",null,"72/100",0
4869,"Tiger Zinda Hai",2017,"7+",null,"72/100",0
4870,"Shane",1953,null,null,"72/100",0
4871,"The Discreet Charm of the Bourgeoisie",1972,"7+",null,"72/100",0
4872,"The Last Castle",2001,"18+",null,"72/100",0
4876,"Burlesque",2010,"13+",null,"72/100",0
4797,"King Lear",2018,"16+",null,"75/100",0
5035,"22 Bullets",2010,null,null,"67/100",0
5037,"Jolt",2021,"18+",null,"67/100",0
5178,"Chemical Hearts",2020,"18+",null,"64/100",0
5179,"Creepshow 2",1987,"18+",null,"64/100",0
5180,"George Carlin: Life Is Worth Losing",2005,"18+",null,"64/100",0
5181,"24 Hours to Live",2017,"18+",null,"64/100",0
5182,"Meet John Doe",1941,null,null,"64/100",0
5183,"Piranha",1978,"18+",null,"64/100",0
5177,"My Bloody Valentine",1981,"18+",null,"64/100",0
5188,"Wolf Creek 2",2013,null,null,"64/100",0
5195,"Warlock",1989,"18+",null,"64/100",0
5197,"10 Rillington Place",1971,"7+",null,"64/100",0
5198,"Extracted",2012,"18+",null,"64/100",0
5199,"The Grand Seduction",2013,"13+",null,"64/100",0
5200,"The Double",2011,"13+",null,"64/100",0
5201,"Marauders",2016,"18+",null,"64/100",0
5190,"The Dark Valley",2014,null,null,"64/100",0
5176,"The Secret: Dare to Dream",2020,"7+",null,"64/100",0
5174,"White Bird in a Blizzard",2014,"18+",null,"64/100",0
5173,"Teeth",2008,"18+",null,"64/100",0
5149,"A Mighty Heart",2007,"18+",null,"65/100",0
5151,"The Tall Man",2012,"18+",null,"65/100",0
5152,"Padmaavat",2018,null,null,"65/100",0
5153,"OtherLife",2017,"18+",null,"65/100",0
5155,"Nick of Time",1995,"18+",null,"65/100",0
5156,"Rio Grande",1950,null,null,"65/100",0
5160,"Agent Sai Srinivasa Athreya",2019,null,null,"64/100",0
5161,"Dead & Buried",1981,"18+",null,"64/100",0
5163,"We Are Still Here",2015,null,null,"64/100",0
5165,"Bottle Shock",2008,"13+",null,"64/100",0
5166,"Troop Zero",2019,"7+",null,"64/100",0
5169,"Trees Lounge",1996,"18+",null,"64/100",0
5170,"Guava Island",2019,"18+",null,"64/100",0
5171,"Better Luck Tomorrow",2002,"18+",null,"64/100",0
5172,"1492: Conquest of Paradise",1992,"13+",null,"64/100",0
5203,"Carnal Knowledge",1971,"18+",null,"64/100",0
5204,"Same Kind of Different as Me",2017,"13+",null,"64/100",0
5206,"Last Shift",2014,"18+",null,"64/100",0
5207,"Look Away",2018,"18+",null,"64/100",0
5235,"Drug War",2012,"18+",null,"63/100",0
5236,"47 Meters Down: Uncaged",2019,"13+",null,"63/100",0
5240,"Bachna Ae Haseeno",2008,"7+",null,"63/100",0
5241,"Any Day Now",2012,"18+",null,"63/100",0
5242,"The Front",1976,"7+",null,"63/100",0
5243,"The Messengers",2007,"13+",null,"63/100",0
5244,"A Girl Like Her",2015,"13+",null,"63/100",0
5247,"Soapdish",1991,"13+",null,"63/100",0
5249,"Frances",1982,"18+",null,"63/100",0
5252,"Beneath Hill 60",2010,"18+",null,"63/100",0
5259,"April Fool's Day",1986,"18+",null,"63/100",0
5260,"Just Friends",2018,null,null,"63/100",0
5261,"Hatchet",2006,"18+",null,"63/100",0
5262,"In the Electric Mist",2009,"18+",null,"63/100",0
5264,"Kill Me Three Times",2015,"18+",null,"63/100",0
5233,"Gleason",2016,"18+",null,"63/100",0
5148,"The Program",2015,"13+",null,"65/100",0
5231,"Kansas City Confidential",1952,null,null,"63/100",0
5228,"USS Indianapolis: Men of Courage",2016,"18+",null,"63/100",0
5208,"The Transporter Refueled",2015,"13+",null,"64/100",0
5209,"Blue Thunder",1983,"18+",null,"64/100",0
5210,"The Attorney",2013,null,null,"64/100",0
5211,"The Beastmaster",1982,"7+",null,"64/100",0
5212,"Mortal",2020,"18+",null,"64/100",0
5213,"Spread",2009,"18+",null,"64/100",0
5214,"The Nutty Professor",1963,null,null,"64/100",0
5215,"Kesari",2019,null,null,"64/100",0
5218,"The Secret of Roan Inish",1994,"7+",null,"63/100",0
5220,"One Step Behind the Seraphim",2017,"13+",null,"63/100",0
5221,"Ladies vs Ricky Bahl",2011,null,null,"63/100",0
5222,"100 Girls",2000,"18+",null,"63/100",0
5223,"Karwaan",2018,null,null,"63/100",0
5224,"Blind Fury",1989,"18+",null,"63/100",0
5225,"Fat City",1972,"7+",null,"63/100",0
5230,"Black Butterfly",2017,"18+",null,"63/100",0
5036,"House on Haunted Hill",1959,null,null,"67/100",0
5147,"The Babysitters",2008,"18+",null,"65/100",0
5145,"That Sugar Film",2014,"7+",null,"65/100",0
5069,"Detour",1945,null,null,"66/100",0
5070,"The Court Jester",1955,null,null,"66/100",0
5071,"White Lies",2013,null,null,"66/100",0
5072,"Rudderless",2014,"18+",null,"66/100",0
5076,"Repo! The Genetic Opera",2008,"18+",null,"66/100",0
5077,"You're Not You",2014,"18+",null,"66/100",0
5065,"How I Live Now",2013,"18+",null,"66/100",0
5080,"Guys and Dolls",1955,null,null,"66/100",0
5083,"Brigham City",2001,"13+",null,"66/100",0
5084,"Happythankyoumoreplease",2011,"18+",null,"66/100",0
5085,"JCVD",2008,"18+",null,"66/100",0
5088,"Bad Boys",1983,"18+",null,"66/100",0
5089,"Aaja Nachle",2007,"all",null,"66/100",0
5090,"The Souvenir",2019,"18+",null,"66/100",0
5082,"The Little Foxes",1941,null,null,"66/100",0
5064,"Birdy",1984,"18+",null,"66/100",0
5062,"Fahrenheit 11/9",2018,"18+",null,"66/100",0
5060,"Johnny Guitar",1954,null,null,"66/100",0
5038,"Wiener-Dog",2016,"18+",null,"67/100",0
5044,"Last Flag Flying",2017,"18+",null,"67/100",0
5045,"Louisiana Story",1948,null,null,"67/100",0
5046,"Macbeth",2015,"18+",null,"67/100",0
5047,"The Goldfinch",2019,"18+",null,"67/100",0
5048,"The Man Who Fell to Earth",1976,"18+",null,"67/100",0
5049,"The Phantom of the Opera",1925,null,null,"67/100",0
5050,"The Bishop's Wife",1947,null,null,"67/100",0
5051,"Absolutely Anything",2015,"18+",null,"67/100",0
5052,"The Parallax View",1974,"18+",null,"67/100",0
5053,"Wuthering Heights",1939,null,null,"67/100",0
5054,"Explorers",1985,"7+",null,"67/100",0
5055,"The Taking of Deborah Logan",2014,"18+",null,"66/100",0
5057,"The Silencing",2020,"18+",null,"66/100",0
5059,"Why We Fight",2005,"13+",null,"66/100",0
5092,"Anna",2013,"18+",null,"66/100",0
5093,"Take This Waltz",2011,"18+",null,"66/100",0
5096,"The Blackout",2019,"18+",null,"66/100",0
5097,"Jesse Stone: Stone Cold",2005,"18+",null,"65/100",0
5125,"The Endless Summer",1966,"7+",null,"65/100",0
