ID,Metric,Value
Mark HoldenNever Gonna Fall in Love Again - Live,Danceability,0.557
Melissa ManchesterYou Should Hear How She Talks About You,Danceability,0.753
Bryan Adams(Everything I Do) I Do It For You,Danceability,0.52
Bee GeesI've Gotta Get A Message To You,Danceability,0.442
Sandi ThomI Wish I Was a Punk Rocker (with Flowers in My Hair),Danceability,0.7
Neil YoungHeart of Gold - 2017 Remaster,Danceability,0.542
Murphy LeeShake Ya Tailfeather - Radio,Danceability,0.715
Guy SebastianCome Home with Me,Danceability,0.706
BrosDrop the Boy,Danceability,0.553
Charlie PuthSee You Again (feat. Charlie Puth),Danceability,0.689
Heavy D & The BoyzNow That We Found Love,Danceability,0.744
The WeekndCall Out My Name,Danceability,0.449
Billy Thorpe & The AztecsLove Letters,Danceability,0.379
Aretha FranklinRespect,Danceability,0.805
"Betty BooDoin' The Do - 7"" Radio Mix",Danceability,0.801
Neil DiamondSweet Caroline,Danceability,0.529
BlondieCall Me,Danceability,0.56
MonicaDon't Take It Personal (Just One of Dem Days),Danceability,0.731
Suzi Quatro48 Crash,Danceability,0.643
Foo FightersMy Hero,Danceability,0.398
Train50 Ways to Say Goodbye,Danceability,0.591
OneRepublicCounting Stars,Danceability,0.662
Frijid PinkHouse of the Rising Sun,Danceability,0.254
The Chemical BrothersDo It Again,Danceability,0.867
Fern KinneyTogether We Are Beautiful,Danceability,0.761
KC & The Sunshine BandKeep It Comin' Love,Danceability,0.773
The BellsStay Awhile,Danceability,0.558
Scandal'usMe Myself & I,Danceability,0.709
Dua LipaBe the One,Danceability,0.661
"Swedish House Mafia, John MartinDon't You Worry Child - Radio Edit",Danceability,0.612
The B-52'sPrivate Idaho,Danceability,0.551
Colbie CaillatI Never Told You,Danceability,0.498
Dami ImSaving All My Love For You,Danceability,0.334
"Ed Sheeran, Chris Stapleton, Bruno MarsBLOW (with Chris Stapleton & Bruno Mars)",Danceability,0.631
Ja RuleWonderful,Danceability,0.663
Jessica MauboyUp/Down,Danceability,0.69
Roxy MusicMore Than This,Danceability,0.653
BabyfaceEvery Time I Close My Eyes (with Kenny G),Danceability,0.654
"ShalamarUptown Festival - 7"" Version",Danceability,0.768
Ultra NatéFree,Danceability,0.757
Bryan AdamsHave You Ever Really Loved A Woman?,Danceability,0.569
Ariana GrandeProblem,Danceability,0.66
Paul McCartneyNo More Lonely Nights (Ballad),Danceability,0.32
Papa RoachScars,Danceability,0.384
Bobby LewisOne Track Mind,Danceability,0.571
Cold ChiselCheap Wine - 2011 Remastered,Danceability,0.681
Whitney HoustonI'm Every Woman,Danceability,0.665
"Various ArtistsBecause I Got High - From ""Jay And Silent Bob Strike Back"" Soundtrack",Danceability,0.799
Various ArtistsLove is a Beautiful Song,Danceability,0.405
JXYou Belong To Me - JX Mix,Danceability,0.724
Violent FemmesBlister in the Sun - 2002 Remastered Version,Danceability,0.701
The ChainsmokersThe Reaper,Danceability,0.633
EvermoreFollow The Sun,Danceability,0.507
Sub SubAin't No Love (Ain't No Use) [feat. Melanie Williams],Danceability,0.802
Soul AsylumRunaway Train (2022 Remaster),Danceability,0.613
Sarah BlaskoAll I Want,Danceability,0.604
Ed SheeranHow Would You Feel (Paean),Danceability,0.617
FiveGreatest Hits Megamix - Jewels & Stone Remix,Danceability,0.497
Montell JordanThis Is How We Do It,Danceability,0.791
Nitty Gritty Dirt BandMr. Bojangles - Remastered 2001,Danceability,0.444
Various ArtistsSan Francisco (Be Sure to Wear Flowers in Your Hair),Danceability,0.569
