ID,Metric,Value
LoboDon't Expect Me to Be Your Friend,Danceability,0.513
"The Rolling StonesPaint It, Black - (Original Single Mono Version)",Danceability,0.496
Iggy PopReal Wild Child (Wild One),Danceability,0.59
JoJoToo Little Too Late,Danceability,0.421
Katy PerryDark Horse,Danceability,0.645
Guy SebastianSet In Stone,Danceability,0.487
U2With Or Without You - Remastered 2007,Danceability,0.538
Etta JamesAt Last,Danceability,0.274
Newton FaulknerOver & Out,Danceability,0.55
Men At WorkDown Under,Danceability,0.746
Bob DylanThe Times They Are A-Changin',Danceability,0.389
CHICLe Freak - 2018 Remaster,Danceability,0.91
Bee GeesJive Talkin',Danceability,0.811
Bertie HigginsKey Largo,Danceability,0.503
Miley Cyrus7 Things,Danceability,0.591
"Céline DionBecause You Loved Me (Theme from ""Up Close and Personal"")",Danceability,0.614
The OffspringSelf Esteem,Danceability,0.439
Luke ChristopherLot to Learn,Danceability,0.405
Matchbox Twenty3AM,Danceability,0.521
TaxirideHow I Got This Way,Danceability,0.443
Operator PleaseLogic,Danceability,0.769
Katy PerryHot N Cold,Danceability,0.702
Olivia Rodrigogood 4 u,Danceability,0.556
CoCo LeeDo You Want My Love,Danceability,0.699
CrushJellyhead,Danceability,0.681
LifehouseYou And Me,Danceability,0.461
"Galantis, MAXSatisfied (feat. MAX)",Danceability,0.75
Guns N' RosesLive And Let Die,Danceability,0.262
The Beach BoysCotton Fields (The Cotton Song) - Remastered 2001,Danceability,0.597
Adam & The AntsPrince Charming,Danceability,0.549
Black BoxFantasy,Danceability,0.713
Matchbox TwentyUnwell - 2007 Remaster,Danceability,0.442
Miike SnowGenghis Khan,Danceability,0.688
Gnarls BarkleyGoing On,Danceability,0.443
Various ArtistsThe Forgotten,Danceability,0.507
LordeThe Love Club,Danceability,0.793
Kyu SakamotoSukiyaki,Danceability,0.406
"Snakehips, Tinashe, Chance the RapperAll My Friends (feat. Tinashe & Chance the Rapper)",Danceability,0.681
Tinie TempahPass Out - Radio Edit,Danceability,0.661
DJ SnakeMiddle,Danceability,0.611
PowderfingerAll Of The Dreamers,Danceability,0.511
Kevin RudolfLet It Rock,Danceability,0.607
Juice WRLDCome & Go (with Marshmello),Danceability,0.625
Simply RedIf You Don't Know Me by Now - 2008 Remaster,Danceability,0.638
Jessica MauboyRunning Back (feat. Flo Rida),Danceability,0.512
"Ruby Velle & The Soulphonics, Ruby VelleThe Man Says",Danceability,0.629
The La De Da'sGonna See My Baby Tonight,Danceability,0.688
Noah CyrusJuly,Danceability,0.708
"Paul EvansHello, This Is Joannie (The Telephone Answering Machine Song)",Danceability,0.664
No DoubtSunday Morning,Danceability,0.579
James ArthurNaked,Danceability,0.529
Daddy DewdropChick-a-Boom (Don't Ya Jes Love It),Danceability,0.781
"Various ArtistsYes Sir, I Can Boogie",Danceability,0.452
Vanessa AmorosiPerfect,Danceability,0.634
Michael JacksonYou Are Not Alone - Single Version,Danceability,0.64
David GuettaWhat I Did for Love (feat. Emeli Sandé),Danceability,0.494
Bruno MarsLocked out of Heaven,Danceability,0.726
Fine Young CannibalsShe Drives Me Crazy,Danceability,0.799
Various ArtistsI Should Have Known Better,Danceability,0.405
Kings of LeonUse Somebody,Danceability,0.276
ForeignerHot Blooded,Danceability,0.705
BoyzoneLove Me For A Reason,Danceability,0.431
Billy JoelJust the Way You Are,Danceability,0.589
Bruno MarsIt Will Rain,Danceability,0.576
John LennonHappy Xmas (War Is Over) - Remastered 2010,Danceability,0.321
Michael BubléSway,Danceability,0.713
The ClashShould I Stay or Should I Go - Remastered,Danceability,0.742
Soulja BoyCrank That (Soulja Boy),Danceability,0.732
Various ArtistsLet It Out (Let It All Hang Out),Danceability,0.736
PowderfingerPassenger,Danceability,0.259
Dion & The BelmontsWhere Or When,Danceability,0.455
Steve PerryOh Sherrie,Danceability,0.576
Blue BoyRemember Me - Sure Is Pure 7 Inch Edit,Danceability,0.837
The KillersRunaways,Danceability,0.409
Talking HeadsPsycho Killer - 2005 Remaster,Danceability,0.721
Various ArtistsThe Reason,Danceability,0.476
Kaz JamesBreathe - Radio Edit,Danceability,0.729
The ScriptThe Man Who Can't Be Moved,Danceability,0.612
Vicki LawrenceShips In The Night,Danceability,0.507
One DirectionWhat Makes You Beautiful,Danceability,0.729
"Flume, Chet FakerDrop the Game",Danceability,0.559
Booker T. & the M.G.'sSoul Limbo,Danceability,0.703
Helen ReddyLeave Me Alone (Ruby Red Dress),Danceability,0.655
GABRIELLESunshine,Danceability,0.682
Cut CopyTake Me Over,Danceability,0.673
Lazaro's DogHome Entertainment System,Danceability,0.509
"AerosmithI Don't Want to Miss a Thing - From the Touchstone film, ""Armageddon""",Danceability,0.39
Alan WalkerAlone,Danceability,0.676
"Jason Derulo, Nicki Minaj, Ty Dolla $ignSwalla (feat. Nicki Minaj & Ty Dolla $ign)",Danceability,0.696
The DoorsRoadhouse Blues,Danceability,0.623
Bert KaempfertWonderland by Night (Wunderland bei Nacht),Danceability,0.261
AmielLovesong,Danceability,0.681
Green DayMinority,Danceability,0.551
Bruno Mars24K Magic,Danceability,0.818
GrinspoonChemical Heart,Danceability,0.475
Rita OraLet You Love Me,Danceability,0.475
Jessie JBang Bang,Danceability,0.711
"Jon Bon JoviBlaze Of Glory - From ""Young Guns II"" Soundtrack",Danceability,0.55
Mariah CareyBye Bye,Danceability,0.788
Bryan FerryThe Price Of Love,Danceability,0.543
Pet Shop BoysDomino Dancing,Danceability,0.645
Why Don't WeFallin’ (Adrenaline),Danceability,0.606
JetAre You Gonna Be My Girl?,Danceability,0.606
Birds Of TokyoWhen The Night Falls Quiet,Danceability,0.54
Run–D.M.C.Walk This Way (feat. Aerosmith),Danceability,0.761
Calvin HarrisI'm Not Alone - Radio Edit,Danceability,0.597
Urban Cookie CollectiveFeels Like Heaven,Danceability,0.639
TopicHome (feat. Nico Santos),Danceability,0.723
Grand Funk RailroadWe're An American Band - Remastered 2002,Danceability,0.637
Justin BieberLove Yourself,Danceability,0.609
Clyde McPhatterLover Please,Danceability,0.714
The OffspringSelf Esteem,Danceability,0.488
"Frankie Valli & The Four SeasonsDecember, 1963 (Oh What a Night!)",Danceability,0.727
Des'reeYou Gotta Be,Danceability,0.663
Roy OrbisonOoby Dooby,Danceability,0.674
PitbullShut It Down (feat. Akon),Danceability,0.753
"Manfred MannIf You Gotta Go, Go Now - 2007 Remaster",Danceability,0.592
The RubensMillion Man,Danceability,0.472
Lady GagaThe Edge Of Glory,Danceability,0.581
Las KetchupThe Ketchup Song (Asereje) - Spanish Version,Danceability,0.587
Hot ChocolateEmma,Danceability,0.632
"DJ Snake, Lil JonTurn Down for What",Danceability,0.818
James ReyneSlave,Danceability,0.673
OneRepublicSomething I Need,Danceability,0.683
Rob ThomasHer Diamonds,Danceability,0.555
"Jessica MauboyFallin' - Original Song from the TV Series ""The Secret Daughter""",Danceability,0.729
The BeatlesLet It Be - Remastered 2009,Danceability,0.443
Bon JoviWanted Dead Or Alive,Danceability,0.279
Ray CharlesI Can't Stop Loving You,Danceability,0.311
MadonnaBorderline,Danceability,0.807
David EssexHold Me Close,Danceability,0.598
"Lilly Wood and The Prick, Robin SchulzPrayer in C - Robin Schulz Radio Edit",Danceability,0.763
Paul McCartneyGoodnight Tonight,Danceability,0.748
Sixpence None The RicherThere She Goes,Danceability,0.498
Dean GeyerIf You Don't Mean It,Danceability,0.445
Shannon NollNow I Run,Danceability,0.389
Tina ArenaI Need Your Body,Danceability,0.69
John Paul YoungStanding In The Rain,Danceability,0.737
Various ArtistsIt's Good News Week,Danceability,0.52
Stacie OrricoStuck,Danceability,0.377
"Et Cetera, KincadeDreams Are Ten A Penny - Radio Mix",Danceability,0.587
"Elton John, Britney SpearsHold Me Closer",Danceability,0.667
Bill Haley & His Comets(We're Gonna) Rock Around the Clock,Danceability,0.817
Daft PunkGet Lucky (feat. Pharrell Williams and Nile Rodgers),Danceability,0.81
Stan WalkerHomesick,Danceability,0.694
Foster & AllenMaggie,Danceability,0.343
2PacCalifornia Love - Original Version,Danceability,0.767
FiveIf Ya Gettin' Down,Danceability,0.819
Juice NewtonQueen Of Hearts,Danceability,0.669
SpiderbaitCalypso,Danceability,0.318
Ronan KeatingStay,Danceability,0.618
Dexys Midnight RunnersCome On Eileen,Danceability,0.45
MGMTFlash Delirium,Danceability,0.575
The BeatlesHey Jude - Remastered 2015,Danceability,0.386
Charli XCXAfter the Afterparty (feat. Lil Yachty),Danceability,0.653
Various ArtistsParanoid,Danceability,0.637
LabrinthJealous,Danceability,0.439
TiëstoWasted,Danceability,0.638
Tommy RoeDizzy,Danceability,0.794
Bonnie TylerIt's a Heartache,Danceability,0.54
Pat BooneAin't That A Shame,Danceability,0.693
The CardigansLovefool - Radio Edit,Danceability,0.648
ShaggyJoy You Bring,Danceability,0.742
HushGlad All Over,Danceability,0.357
The Rolling StonesAngie - Remastered 2009,Danceability,0.429
Bobby GoldsboroHoney - 1991 - Remaster,Danceability,0.5
DivinylsBoys In Town,Danceability,0.487
The BeatlesHelp! - Remastered 2009,Danceability,0.534
Various ArtistsOne Wish,Danceability,0.524
RadioheadCreep,Danceability,0.532
Mariah Carey#Beautiful,Danceability,0.67
LoboI'd Love You to Want Me,Danceability,0.431
Josh AbrahamsAddicted to Bass,Danceability,0.598
BadfingerBaby Blue - Remastered 2010,Danceability,0.623
Ian CareyShot Caller - Radio Edit,Danceability,0.727
Jarryd James1000x,Danceability,0.533
Van MorrisonDomino - 1999 Remaster,Danceability,0.731
Guns N' RosesSweet Child O' Mine,Danceability,0.454
The VerveThe Drugs Don't Work - Remastered 2004,Danceability,0.443
HoobastankThe Reason,Danceability,0.447
Major LazerLean On (feat. MØ & DJ Snake),Danceability,0.723
Jay & The AmericansCara Mia,Danceability,0.367
Whitney HoustonGreatest Love of All,Danceability,0.502
Human NatureLast To Know - Remastered,Danceability,0.673
Various ArtistsThe Greatest Show,Danceability,0.546
The New SeekersYou Won't Find Another Fool Like Me,Danceability,0.529
Madison AvenueDon't Call Me Baby,Danceability,0.808
StarshipSara,Danceability,0.644
"BlackfeatherSeasons of Change, Pt. 1",Danceability,0.59
MacklemoreCHANT (feat. Tones And I),Danceability,0.698
MadonnaLive to Tell,Danceability,0.652
blink-182All The Small Things,Danceability,0.439
Colbie CaillatFallin' For You,Danceability,0.641
The PoliceMessage In A Bottle - Remastered 2003,Danceability,0.577
Cliff RichardAll I Ask Of You,Danceability,0.209
Gym Class HeroesStereo Hearts (feat. Adam Levine),Danceability,0.646
"Mike Mago, DragonetteOutlines - Radio Edit",Danceability,0.731
Charli XCXBoys,Danceability,0.867
Dynamic HepnoticsSoul Kind of Feeling,Danceability,0.674
Kelly ClarksonNever Again,Danceability,0.514
CreedOne Last Breath,Danceability,0.386
Art vs ScienceFriend In the Field,Danceability,0.52
KisschasyOpinions Won't Keep You Warm At Night,Danceability,0.434
Ariana Grandepositions,Danceability,0.734
D12How Come,Danceability,0.75
KISSI Was Made For Lovin' You,Danceability,0.768
Dua LipaBlow Your Mind (Mwah),Danceability,0.684
Backstreet BoysThe Call,Danceability,0.696
Flash and the PanHey St. Peter,Danceability,0.479
Ellie GouldingOn My Mind,Danceability,0.702
GeorgeBreathe in Now,Danceability,0.408
MetallicaOne,Danceability,0.444
No MercyPlease Don't Go,Danceability,0.715
Starland Vocal BandAfternoon Delight,Danceability,0.483
"Dizzee Rascal, Calvin Harris, Chrom3Dance Wiv Me - Radio Edit",Danceability,0.887
SiaChandelier,Danceability,0.286
MadonnaHoliday,Danceability,0.854
Mariah CareyVision of Love,Danceability,0.256
Lynn AndersonRose Garden,Danceability,0.589
Bon JoviWanted Dead Or Alive,Danceability,0.252
"Rachel Mintz, DsbladeSilly Weight",Danceability,0.705
Fall Out BoySave Rock And Roll,Danceability,0.557
NellyHot In Herre,Danceability,0.956
Various ArtistsAll Day And All Of The Night,Danceability,0.552
P.M. DawnSet Adrift on Memory Bliss (Re-Recorded),Danceability,0.795
IllyPapercuts (feat. Vera Blue),Danceability,0.369
Bruno MarsMarry You,Danceability,0.621
Tubeway ArmyAre 'Friends' Electric?,Danceability,0.423
Kaiser ChiefsRuby,Danceability,0.451
Justin BieberBeauty And A Beat,Danceability,0.602
"P!nk, Willow Sage HartCover Me In Sunshine",Danceability,0.476
Katy PerryI Kissed A Girl,Danceability,0.699
"U2Hold Me, Thrill Me, Kiss Me, Kill Me - From 'Batman Forever'",Danceability,0.367
"Zedd, Elley DuhéHappy Now",Danceability,0.503
The Kid LAROIWITHOUT YOU,Danceability,0.43
Fifth HarmonyWork from Home (feat. Ty Dolla $ign),Danceability,0.803
Savage GardenAffirmation,Danceability,0.478
Maroon 5Sugar,Danceability,0.744
Ohio ExpressChewy Chewy,Danceability,0.742
Ariana GrandeLove Me Harder,Danceability,0.472
"HOSH, 1979, JaljaMidnight (The Hanging Tree)",Danceability,0.657
The MiraclesShop Around,Danceability,0.556
The AngelsWe Gotta Get Out Of This Place,Danceability,0.503
Various ArtistsTake Me Over (feat. Safia)),Danceability,0.49
TrainAngel in Blue Jeans,Danceability,0.616
Dami ImAlive,Danceability,0.495
Gerry & The PacemakersHow Do You Do It? - Mono,Danceability,0.617
TimbalandCarry Out (Featuring Justin Timberlake),Danceability,0.531
Various ArtistsNeedle In A Haystack,Danceability,0.631
Harry StylesGolden,Danceability,0.448
Kaleb JonesTill the World Stops Turning,Danceability,0.453
"The PoliceDe Do Do Do, De Da Da Da - Remastered 2003",Danceability,0.78
Paul MacGonna Miss You,Danceability,0.664
Art vs ScienceParlez Vous Francais,Danceability,0.648
Chris FarloweOut of Time (Stereo Version),Danceability,0.514
Various ArtistsFunkytown,Danceability,0.91
Cutting Crew(I Just) Died In Your Arms,Danceability,0.632
Operator PleaseLeave It Alone,Danceability,0.451
The Bootleg Family BandThe Shoop Shoop Song (It's in His Kiss),Danceability,0.603
Paul DempseyRamona Was A Waitress,Danceability,0.549
Simple MindsPromised You A Miracle - Remastered 2002,Danceability,0.674
Ken DoddTears,Danceability,0.254
Billy JoelUptown Girl,Danceability,0.701
The All-American RejectsGives You Hell,Danceability,0.718
Backstreet BoysWe've Got It Goin' On - Radio Edit,Danceability,0.757
Jason DeruloIf It Ain't Love,Danceability,0.503
3OH!3DONTTRUSTME,Danceability,0.791
"David Guetta, SiaFlames",Danceability,0.609
Claes JansonBusted,Danceability,0.466
Joel DaydéMamy Blue,Danceability,0.566
Mariah CareyDreamlover,Danceability,0.693
Third Eye BlindNever Let You Go - 2008 Remaster,Danceability,0.728
NickelbackFigured You Out,Danceability,0.544
"Riton, Nightcrawlers, Mufasa & HypemanFriday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Danceability,0.824
MadonnaErotica,Danceability,0.63
Ace of BaseBeautiful Life,Danceability,0.749
DidoSand in My Shoes,Danceability,0.633
Midnight OilShort Memory - Remastered Version,Danceability,0.749
DeleriumSilence (feat. Sarah McLachlan) - DJ Tiësto's In Search of Sunrise Edit,Danceability,0.602
Artists United Against ApartheidSun City,Danceability,0.63
Nico & VinzAm I Wrong,Danceability,0.725
Alex LloydGreen,Danceability,0.402
Justin BieberI'll Show You,Danceability,0.361
"Kane Brown, Swae Lee, KhalidBe Like That - feat. Swae Lee & Khalid",Danceability,0.727
The ReelsThis Guy's In Love (With You),Danceability,0.696
The Hollywood ArgylesAlley Oop,Danceability,0.598
"The Notorious B.I.G.Nasty Girl (feat. Diddy, Nelly, Jagged Edge & Avery Storm) - 2005 Remaster",Danceability,0.833
James ReyneMotor's Too Fast,Danceability,0.643
"Emerson\, Lake & PalmerFanfare for the Common Man - Single Edit",Danceability,0.376
The Veronicas4ever,Danceability,0.581
"The Kid LAROI, Justin BieberSTAY (with Justin Bieber)",Danceability,0.587
Dua LipaPhysical,Danceability,0.647
"KhiaMy Neck, My Back (Lick It)",Danceability,0.859
Enrique IglesiasTonight (I'm Lovin' You),Danceability,0.651
Various ArtistsFinally,Danceability,0.761
Blu CantrellHit 'Em Up Style (Oops!),Danceability,0.696
The MonkeesDaydream Believer,Danceability,0.51
WestlifeWhen You're Looking Like That - Single Remix,Danceability,0.597
Jason DeruloTalk Dirty (feat. 2 Chainz),Danceability,0.76
Gloriana(Kissed You) Good Night,Danceability,0.523
Havana BrownYou’ll Be Mine,Danceability,0.723
New OrderBlue Monday '88,Danceability,0.681
Nick JonasClose,Danceability,0.625
Normie RoweIt's Not Easy - 2015 Remaster,Danceability,0.328
"Alex K, KCB, Sash!Heaven",Danceability,0.568
U2Sunday Bloody Sunday,Danceability,0.543
George MichaelOne More Try - Remastered,Danceability,0.551
Various ArtistsDaisy a Day,Danceability,0.528
Don GibsonSea of Heartbreak,Danceability,0.59
Destiny's ChildSurvivor,Danceability,0.524
Gene PitneyI Must Be Seeing Things - Remastered,Danceability,0.554
Surf Mesaily (i love you baby) (feat. Emilee),Danceability,0.674
The SuperjesusDown Again,Danceability,0.271
The Black KeysLonely Boy,Danceability,0.356
The Brothers FourGreenfields,Danceability,0.457
La RouxBulletproof,Danceability,0.674
Toni ChildsMany Rivers To Cross,Danceability,0.771
Lisa MitchellOh! Hark!,Danceability,0.502
Snoop DoggDrop It Like It's Hot,Danceability,0.892
Ava MaxSo Am I,Danceability,0.682
Led ZeppelinD'yer Mak'er - 1990 Remaster,Danceability,0.537
"Napoleon XIVThey're Coming to Take Me Away, Ha-Haaa!",Danceability,0.821
Tina ArenaSorrento Moon (I Remember),Danceability,0.639
The Kid LAROISO DONE,Danceability,0.719
ParamoreAin't It Fun,Danceability,0.61
Martin GarrixDon't Look Down (feat. Usher),Danceability,0.575
Frankie ValliGrease - 2007 Remaster,Danceability,0.82
David GuettaWhere Them Girls At (feat. Nicki Minaj & Flo Rida),Danceability,0.666
2 UnlimitedGet Ready - Rapversion Edit,Danceability,0.769
Ram JamBlack Betty,Danceability,0.465
The BeatlesI Saw Her Standing There - Remastered 2009,Danceability,0.491
Glee CastHopelessly Devoted To You (Glee Cast Version),Danceability,0.61
Various ArtistsIn Da Club - Single Version / Edit,Danceability,0.91
Olly MursTroublemaker (feat. Flo Rida),Danceability,0.762
Tom Petty and the HeartbreakersDon't Do Me Like That,Danceability,0.758
Eric BenétSpend My Life With You,Danceability,0.583
Kelly ClarksonBehind These Hazel Eyes,Danceability,0.548
Joe DowellWooden Heart,Danceability,0.595
The Spencer Davis GroupGimme Some Lovin' - Single Mix,Danceability,0.598
TiëstoLight Years Away,Danceability,0.532
The ChainsmokersTakeaway (feat. Lennon Stella),Danceability,0.294
MadonnaWho's That Girl,Danceability,0.625
BROODSMother & Father,Danceability,0.617
Various ArtistsSave The Best For Last,Danceability,0.527
"Felix Jaehn, Hight, Alex AionoHot2Touch",Danceability,0.755
Daryl Hall & John OatesI Can't Go for That (No Can Do),Danceability,0.889
Sophie Ellis-BextorMurder On The Dancefloor,Danceability,0.734
"Steps5, 6, 7, 8",Danceability,0.682
Jimi HendrixAll Along the Watchtower,Danceability,0.438
Beastie BoysFight For Your Right,Danceability,0.669
Chubby CheckerLet's Twist Again,Danceability,0.605
Nicholas McDonaldIf You're Not the One,Danceability,0.671
Tones And INever Seen the Rain,Danceability,0.491
Taylor SwiftBad Blood,Danceability,0.646
Post MaloneDie For Me (feat. Future & Halsey),Danceability,0.613
Sammi SmithHelp Me Make It Through The Night,Danceability,0.559
Calvin HarrisBounce (feat. Kelis) - Radio Edit,Danceability,0.779
INXSDevil Inside,Danceability,0.589
Britney SpearsHold It Against Me,Danceability,0.648
Liberty XJust A Little,Danceability,0.796
LoverboyTurn Me Loose,Danceability,0.519
Various ArtistsMama Said,Danceability,0.669
Glee CastLet It Be (Glee Cast Version),Danceability,0.343
Bay City RollersRock and Roll Love Letter,Danceability,0.528
"NEWEM, Baby AlpacaDance Again",Danceability,0.642
Stan WalkerChoose You,Danceability,0.603
Various ArtistsIf I Had Words,Danceability,0.524
INXSKiss The Dirt (Falling Down The Mountain),Danceability,0.652
Billy IdolTo Be A Lover,Danceability,0.562
Years & YearsEyes Shut,Danceability,0.593
Bruce SpringsteenBorn in the U.S.A.,Danceability,0.398
Avril LavigneGirlfriend,Danceability,0.56
Various ArtistsSunshine After The Rain,Danceability,0.733
Icona PopI Love It (feat. Charli XCX),Danceability,0.711
Ronan KeatingIf Tomorrow Never Comes,Danceability,0.56
AviciiHey Brother,Danceability,0.545
Enrique IglesiasHeartbeat,Danceability,0.567
David BowieAshes to Ashes - 2017 Remaster,Danceability,0.71
Donna SummerHeaven Knows,Danceability,0.703
Dua LipaWe're Good,Danceability,0.722
JetSeventeen,Danceability,0.527
Crowded HouseBetter Be Home Soon,Danceability,0.424
Samantha FoxTouch Me (I Want Your Body),Danceability,0.664
"Marty Guilfoyle, John Gibbons1, 2 Step",Danceability,0.814
Groove ArmadaLook Me In the Eye Sister,Danceability,0.477
Lewis CapaldiBefore You Go,Danceability,0.459
Australia's Own JigsawYellow River,Danceability,0.607
Arrested DevelopmentMr Wendal - Remastered 2002,Danceability,0.893
LordeSolar Power,Danceability,0.735
"Lady Gaga, Ariana GrandeRain On Me (with Ariana Grande)",Danceability,0.672
Joe DolanLady In Blue,Danceability,0.45
Petula ClarkThis Is My Song,Danceability,0.179
Ray CharlesTake These Chains from My Heart,Danceability,0.4
Various ArtistsRegulate,Danceability,0.817
Sir Mix-A-LotBaby Got Back,Danceability,0.937
SkyhooksHorror Movie - remastered,Danceability,0.687
Niall HoranSlow Hands,Danceability,0.734
Lighthouse FamilyHigh,Danceability,0.663
"Dixie Belles, Cornbread & Jerry(Down At) Papa Joe's",Danceability,0.452
Los Indios TabajarasMaria Elena,Danceability,0.676
Richard Vission & Static Revenger Starring LucianaI Like That,Danceability,0.94
Tammin SursokPointless Relationship,Danceability,0.483
CarpentersTop Of The World,Danceability,0.378
Madison BeerBaby,Danceability,0.705
Jona LewieLouise (We Get It Right),Danceability,0.718
Luke CombsFast Car,Danceability,0.712
Cyndi LauperTime After Time,Danceability,0.724
"Sia, Diplo, LabrinthGenius",Danceability,0.622
Groove ArmadaMy Friend,Danceability,0.473
BostonPeace of Mind,Danceability,0.419
T.I.Dead And Gone,Danceability,0.713
Tears For FearsMad World,Danceability,0.647
Various ArtistsAsia Minor (Rerecorded),Danceability,0.459
RihannaWe Found Love,Danceability,0.734
Whitney HoustonWhere Do Broken Hearts Go,Danceability,0.557
"Barbra Streisand, Kris KristoffersonEvergreen (Love Theme from ""A Star Is Born"")",Danceability,0.335
The ByrdsMr. Tambourine Man,Danceability,0.456
Tinie TempahInvincible (feat. Kelly Rowland),Danceability,0.684
VydamoGonna Make It,Danceability,0.614
Ike & Tina TurnerIt's Gonna Work Out Fine,Danceability,0.701
R.E.M.Everybody Hurts,Danceability,0.303
Bruno MarsThat's What I Like,Danceability,0.853
Tracy ChapmanBaby Can I Hold You,Danceability,0.692
The WaifsLondon Still - Original,Danceability,0.616
Sheryl CrowStrong Enough,Danceability,0.586
AJRI'm Ready,Danceability,0.601
Ral DonnerYou Don't Know What You've Got,Danceability,0.662
RihannaRussian Roulette,Danceability,0.39
D12My Band,Danceability,0.848
"The WeekndEarned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",Danceability,0.66
Green DayHoliday,Danceability,0.552
Justice CrewQue Sera,Danceability,0.587
RudimentalWaiting All Night (feat. Ella Eyre),Danceability,0.544
Taylor DayneCan't Get Enough of Your Love,Danceability,0.689
Michael JacksonThey Don't Care About Us,Danceability,0.859
LMFAOParty Rock Anthem,Danceability,0.751
KuruptIt's Over,Danceability,0.832
"Justin Bieber, BloodPop®Friends (with BloodPop®)",Danceability,0.744
Michael GiacchinoTry Everything,Danceability,0.705
Kanye WestTouch The Sky - Radio Edit,Danceability,0.614
TimbalandThe Way I Are,Danceability,0.73
Tame ImpalaThe Less I Know The Better,Danceability,0.64
QueenFat Bottomed Girls - Remastered 2011,Danceability,0.421
Various ArtistsDon't Need Love,Danceability,0.672
Richard ClaptonGirls on the Avenue,Danceability,0.637
Rogue TradersVoodoo Child,Danceability,0.652
"Marshmello, CHVRCHESHere With Me",Danceability,0.791
"Naughty Boy, Joe JonasOne Chance To Dance",Danceability,0.603
Five For Fighting100 Years,Danceability,0.643
Birds Of TokyoLanterns - Single Version,Danceability,0.409
Fleetwood MacGo Your Own Way,Danceability,0.597
AJRWeak,Danceability,0.67
Children CollideJellylegs,Danceability,0.471
Betty WhoSomebody Loves You,Danceability,0.626
Smash MouthI'm A Believer,Danceability,0.549
NellyTilt Ya Head Back - Album Version / Explicit,Danceability,0.836
HeartAll I Wanna Do Is Make Love To You,Danceability,0.626
"SZA, Justin TimberlakeThe Other Side (from Trolls World Tour)",Danceability,0.76
Judah KellyCount On Me,Danceability,0.598
Alanis MorissetteIronic - 2015 Remaster,Danceability,0.408
Kylie MinogueI Should Be so Lucky,Danceability,0.745
The Pointer SistersJump (For My Love),Danceability,0.86
Charlie PuthThe Way I Am,Danceability,0.755
LoboMe and You and a Dog Named Boo,Danceability,0.628
George MichaelMiss Sarajevo,Danceability,0.719
Birds Of TokyoI'd Go With You Anywhere,Danceability,0.613
Kanye WestTouch The Sky,Danceability,0.654
Red Hot Chili PeppersAeroplane,Danceability,0.639
Matthew WilderBreak My Stride,Danceability,0.917
Various ArtistsJoy,Danceability,0.491
Dave DobbynSlice of Heaven,Danceability,0.825
Taio CruzHigher,Danceability,0.674
Bob SinclarLove Generation - Radio Edit,Danceability,0.716
SiaThe Greatest,Danceability,0.639
Paul AnkaPuppy Love - Remix,Danceability,0.29
Jimmy DeanP.T. 109,Danceability,0.756
Lukas GrahamLove Someone,Danceability,0.538
Gary Lewis & The PlayboysThis Diamond Ring,Danceability,0.625
Little MixWings,Danceability,0.738
"Snoop Dogg, Wiz KhalifaYoung, Wild & Free (feat. Bruno Mars)",Danceability,0.715
AURORAConqueror,Danceability,0.467
The WhoPinball Wizard,Danceability,0.537
George HarrisonGot My Mind Set On You - Remastered 2004,Danceability,0.767
"Clean Bandit, Topic, Wes NelsonDrive (feat. Wes Nelson)",Danceability,0.81
JoJoBaby It's You,Danceability,0.899
GirlfriendTake It from Me,Danceability,0.72
NFLie,Danceability,0.513
Guy SebastianBattle Scars (feat. Lupe Fiasco),Danceability,0.61
"Dave Dee\, Dozy\, Beaky\, Mick & TichThe Legend Of Xanadu",Danceability,0.403
The CranberriesDreams,Danceability,0.551
BastilleOf The Night,Danceability,0.67
Foo FightersWheels,Danceability,0.411
Elvis Presley(Marie's The Name) His Latest Flame,Danceability,0.661
Elton JohnCrocodile Rock,Danceability,0.621
Havana BrownLike Lightning,Danceability,0.664
Tommy James & The ShondellsCrimson & Clover,Danceability,0.408
Gary Puckett & The Union GapYoung Girl,Danceability,0.408
Various ArtistsLast Song,Danceability,0.513
Dr. HookOnly Sixteen,Danceability,0.622
The MovementJump!,Danceability,0.674
Ray StevensEverything Is Beautiful - 1970 #1 Billboard chart hit,Danceability,0.37
The ScriptNo Good in Goodbye,Danceability,0.366
Elvis PresleyDo the Clam,Danceability,0.707
Jason DeruloThe Sky's the Limit,Danceability,0.655
Nick JonasChains,Danceability,0.534
Various ArtistsCotton Eye Joe,Danceability,0.722
The New SeekersI Get a Little Sentimental over You,Danceability,0.635
Albie Donnelly's SuperchargeYou've Gotta Get up and Dance,Danceability,0.637
Mariah CareyLove Takes Time,Danceability,0.403
SilverchairThe Door,Danceability,0.197
The Guess WhoHand Me Down World - Single Version,Danceability,0.432
"Tiësto, MabelGod Is A Dancer (with Mabel)",Danceability,0.774
The KinksLola,Danceability,0.474
Rod StewartRhythm of My Heart,Danceability,0.582
AnastaciaSick and Tired,Danceability,0.595
"Michael Nesmith, The First National BandJoanne",Danceability,0.408
Culture ClubDo You Really Want To Hurt Me,Danceability,0.744
Various ArtistsPercolator (Twist),Danceability,0.701
